Month-Year,Date,Actual,Predicted
2019-04,2019-04-01 00:00:00.000000000,1356101.0001626015,1332832.4658906753
2019-05,2019-05-01 00:00:00.000000000,1299024.975045045,1238764.6250554628
2019-06,2019-06-01 00:00:00.000000000,2463161.65952381,2338994.4503532415
2019-07,2019-07-01 00:00:00.000000000,1817276.8686607142,1755580.998072122
2019-08,2019-08-01 00:00:00.000000000,1060586.453478261,1026954.0876364334
2019-09,2019-09-01 00:00:00.000000000,3023704.510229885,3022132.2908017267
2019-10,2019-10-01 00:00:00.000000000,1596185.6890566037,1584763.8472278973
2019-11,2019-11-01 00:00:00.000000000,2205244.7978021977,2023250.0478960872
2019-12,2019-12-01 00:00:00.000000000,1166958.058488372,1167685.931338711
2020-01,2020-01-01 00:00:00.000000000,2089917.492264151,2100957.9565882133
2020-02,2020-02-01 00:00:00.000000000,1285895.0382954543,1378228.9883470277
2020-03,2020-03-01 00:00:00.000000000,1226802.215046729,1214821.6996528534
2020-04,2020-04-01 00:00:00.000000000,1185138.5773809522,1126323.599798742
2020-05,2020-05-01 00:00:00.000000000,2340268.35,2395403.449919976
2020-06,2020-06-01 00:00:00.000000000,1779928.3540186915,1785918.470349797
2020-07,2020-07-01 00:00:00.000000000,2268556.7011009175,2326302.515408638
2020-08,2020-08-01 00:00:00.000000000,1276771.6397849463,1342311.3698036515
2020-09,2020-09-01 00:00:00.000000000,2102494.519417476,2119076.9513162132
2020-10,2020-10-01 00:00:00.000000000,3305269.305,3191132.9654305517
2020-11,2020-11-01 00:00:00.000000000,3810595.7112903222,3666201.6118543604
2020-12,2020-12-01 00:00:00.000000000,2326300.546972477,2175635.405312882
2021-01,2021-01-01 00:00:00.000000000,2223170.9923595507,2197550.2507498153
2021-02,2021-02-01 00:00:00.000000000,1436292.5748351647,1362024.7140978712
2021-03,2021-03-01 00:00:00.000000000,1835916.223111111,1962939.403413875
2021-04,2021-04-01 00:00:00.000000000,2240958.661447368,2176297.799711632
2021-05,2021-05-01 00:00:00.000000000,1717310.6323595506,1639007.1746214242
2021-06,2021-06-01 00:00:00.000000000,2130455.978181818,2025488.0065483663
2021-07,2021-07-01 00:00:00.000000000,2888167.6302469135,2791992.925878332
2021-08,2021-08-01 00:00:00.000000000,2642235.0324999997,2497297.768287167
2021-09,2021-09-01 00:00:00.000000000,1837924.8522222224,1852594.3068540553
2021-10,2021-10-01 00:00:00.000000000,3002493.495357143,2912302.3520604298
2021-11,2021-11-01 00:00:00.000000000,3443442.256509434,3363306.3077141047
2021-12,2021-12-01 00:00:00.000000000,1766012.9172527473,1740169.0332339348
2022-01,2022-01-01 00:00:00.000000000,2022680.8389583332,1976811.8626387727
2022-02,2022-02-01 00:00:00.000000000,3008393.793473684,3013843.251611415
2022-03,2022-03-01 00:00:00.000000000,1596115.3189344262,1575068.417792553
2022-04,2022-04-01 00:00:00.000000000,1931772.0810091742,1876935.7047083674
2022-05,2022-05-01 00:00:00.000000000,2000775.4892982456,1897918.6596921885
2022-06,2022-06-01 00:00:00.000000000,2828371.6220202018,2843505.875055359
2022-07,2022-07-01 00:00:00.000000000,1809634.8826829267,1683764.910043372
2022-08,2022-08-01 00:00:00.000000000,1982504.2174999998,1883511.2831568161
2022-09,2022-09-01 00:00:00.000000000,2133246.988559322,2028906.442138306
2022-10,2022-10-01 00:00:00.000000000,1606220.1483898305,1520161.4104001184
2022-11,2022-11-01 00:00:00.000000000,1535063.4800613497,1414744.167883394
2022-12,2022-12-01 00:00:00.000000000,2050278.7357419352,1955228.6164574577
2023-01,2023-01-01 00:00:00.000000000,1679758.6186826348,1517298.6373522193
2023-02,2023-02-01 00:00:00.000000000,1910086.6194405593,1839450.6078527384
2023-03,2023-03-01 00:00:00.000000000,2295543.0078000003,2196961.9942490123
2023-04,2023-04-01 00:00:00.000000000,1396722.2464102565,1515759.3867645657
2023-05,2023-05-01 00:00:00.000000000,1735218.7360240964,1415215.8785485008
2023-06,2023-06-01 00:00:00.000000000,1485983.5691111109,1372809.5779259654
2023-07,2023-07-01 00:00:00.000000000,1627392.059637681,1495289.868777803
2023-08,2023-08-01 00:00:00.000000000,1717880.123057851,1656794.310707091
2023-09,2023-09-01 00:00:00.000000000,1896411.003816794,1851264.9651126617
2023-10,2023-10-01 00:00:00.000000000,3776217.073020133,3591605.8974188794
2023-11,2023-11-01 00:00:00.000000000,1925017.1622123895,1950348.765431663
2023-12,2023-12-01 00:00:00.000000000,1325379.549208633,1340643.2620407355
2024-01,2024-01-01 00:00:00.000000000,4320492.47975,4123505.702129764
2024-02,2024-02-01 00:00:00.000000000,2973234.92519685,2963141.8363132146
2024-03,2024-03-01 00:00:00.000000000,604468.8753846153,588513.3843274262
2024-04,2024-04-01 00:00:00.000000000,1730134.4908955223,1619930.4427337833
2024-05,2024-05-01 00:00:00.000000000,2854666.444434783,2769642.423378712
2024-06,2024-06-01 05:28:49.133858304,2050420.9748,2069495.9609131492
2024-07,2024-07-31 00:00:00.000000000,,3755413.8295153477
2024-08,2024-08-31 00:00:00.000000000,,3670948.9994038264
2024-09,2024-09-30 00:00:00.000000000,,3420122.8516015895
2024-10,2024-10-31 00:00:00.000000000,,3928596.8506741924
2024-11,2024-11-30 00:00:00.000000000,,3896916.422928773
2024-12,2024-12-31 00:00:00.000000000,,4586539.615860812
2025-01,2025-01-31 00:00:00.000000000,,4465859.665530597
2025-02,2025-02-28 00:00:00.000000000,,3154941.8836460817
2025-03,2025-03-31 00:00:00.000000000,,4234848.149857845
2025-04,2025-04-30 00:00:00.000000000,,3679715.219226906
2025-05,2025-05-31 00:00:00.000000000,,6483234.461831899
