Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,2502914.38,14742838.686234277
2019-05,2019-05-01,2502914.38,7574293.865172874
2019-06,2019-06-01,2502914.38,4588775.658311759
2019-07,2019-07-01,2502914.38,9671060.435413864
2019-08,2019-08-01,2502914.38,2746596.8034015554
2019-09,2019-09-01,3103367.1307633584,3777168.4944267124
2019-10,2019-10-01,2502914.38,5773171.294257171
2019-11,2019-11-01,2873765.440855615,9670422.934902646
2019-12,2019-12-01,14071720.008355796,37661243.47761877
2020-01,2020-01-01,2502914.38,14062405.251522647
2020-02,2020-02-01,3661220.7389066666,5794894.55934561
2020-03,2020-03-01,25047396.687968336,7628816.221747294
2020-04,2020-04-01,2502914.38,13186475.540664384
2020-05,2020-05-01,2502914.38,10549472.411798272
2020-06,2020-06-01,19741125.56563492,431781.9503739207
2020-07,2020-07-01,2502914.38,5972391.471200841
2020-08,2020-08-01,5402698.788069705,6563741.688567562
2020-09,2020-09-01,4929602.519712794,9832251.994467415
2020-10,2020-10-01,2502914.38,17405930.785630513
2020-11,2020-11-01,2728370.974409449,2272669.2896018587
2020-12,2020-12-01,10716927.661469815,7813530.417569818
2021-01,2021-01-01,2502914.38,4447267.273042137
2021-02,2021-02-01,2502914.38,3001249.6393703944
2021-03,2021-03-01,12812753.567389036,7741889.036335103
2021-04,2021-04-01,2605820.264935897,25867700.509026844
2021-05,2021-05-01,2360128.573064516,19992990.692455567
2021-06,2021-06-01,4176524.220347594,2514283.4496994102
2021-07,2021-07-01,12515233.848831521,1027021.0866087761
2021-08,2021-08-01,3661345.2030526316,3232106.068443701
2021-09,2021-09-01,4918604.133948718,6612485.3650819855
2021-10,2021-10-01,2859767.3673027987,6569370.622540716
2021-11,2021-11-01,10100187.643659148,35723767.22248099
2021-12,2021-12-01,12999838.668938272,2885622.9736244883
2022-01,2022-01-01,7344733.643870191,10041611.71868964
2022-02,2022-02-01,4175448.5921515888,6042090.601049205
2022-03,2022-03-01,12513047.89062645,3400712.458399303
2022-04,2022-04-01,10119260.34675862,194836.45025786164
2022-05,2022-05-01,11598214.07538813,19343443.406542934
2022-06,2022-06-01,15017414.378459595,2847954.661992258
2022-07,2022-07-01,7253687.365994021,5986904.579334518
2022-08,2022-08-01,7806436.102505308,13140207.621886427
2022-09,2022-09-01,17568178.809697624,10383620.642797729
2022-10,2022-10-01,8435021.738126315,8469559.962896256
2022-11,2022-11-01,4270073.524124386,8830992.132540574
2022-12,2022-12-01,14956749.505309034,1873761.5204023586
2023-01,2023-01-01,2502914.38,11115529.56216748
2023-02,2023-02-01,2992533.1005826774,3923777.298861479
2023-03,2023-03-01,22109435.521764707,8700228.047369778
2023-04,2023-04-01,10550535.817239165,4166920.112024392
2023-05,2023-05-01,8379292.679310896,6414045.679167431
2023-06,2023-06-01,14626017.627837338,12583433.786191674
2023-07,2023-07-01,10419994.481086958,21438917.227087803
2023-08,2023-08-01,9066554.74168784,11629140.253519978
2023-09,2023-09-01,20058211.292454876,3133920.899650913
2023-10,2023-10-01,6666521.520185874,9600404.125960065
2023-11,2023-11-01,3327525.0143006267,6487988.211609532
2023-12,2023-12-01,28824179.245143402,1451886.6194131183
2024-01,2024-01-01,949609.721663244,3987220.06059648
2024-02,2024-02-01,6214300.880858895,22878325.620851763
2024-03,2024-03-01,32601110.991491396,4312836.409934281
2024-04,2024-04-01,7595680.8930784715,9941122.805351544
2024-05,2024-05-01,8625923.872752475,8536126.110954214
2024-06,2024-06-01,21434059.36242248,10671076.223815383
2024-07,2024-07-01,,7108717.907698739
2024-08,2024-08-01,,5881783.7393896375
2024-09,2024-09-01,,10988840.378825048
2024-10,2024-10-01,,4735342.0727953315
2024-11,2024-11-01,,4456971.008548495
2024-12,2024-12-01,,16768585.208122268
2025-01,2025-01-01,,2884996.122773613
2025-02,2025-02-01,,3807352.770630353
2025-03,2025-03-01,,21483197.060768303
2025-04,2025-04-01,,6418694.577468993
2025-05,2025-05-01,,6226896.209166821
2025-06,2025-06-01,,12987470.20706929
