Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,2963020.5300000003,14160683.21535453
2019-05,2019-05-01,2963020.5300000003,14394284.98937608
2019-06,2019-06-01,2963020.5300000003,6888381.647503388
2019-07,2019-07-01,2963020.5300000003,8762960.804434462
2019-08,2019-08-01,2963020.5300000003,4775139.704732343
2019-09,2019-09-01,3676430.7949363864,-8741.358576578543
2019-10,2019-10-01,2963020.5300000003,8630502.006975573
2019-11,2019-11-01,3347459.8747326205,7659213.703332259
2019-12,2019-12-01,14580336.991401618,26956764.244488895
2020-01,2020-01-01,2963020.5300000003,11172425.61519763
2020-02,2020-02-01,4160188.4404266668,4668054.728420472
2020-03,2020-03-01,25585802.48870712,8750647.440961273
2020-04,2020-04-01,2963020.5300000003,17000704.381602284
2020-05,2020-05-01,2963020.5300000003,10871515.306138055
2020-06,2020-06-01,20259680.407486774,2243920.2960255267
2020-07,2020-07-01,2963020.5300000003,7853475.04444107
2020-08,2020-08-01,5937500.166702412,6647327.832388433
2020-09,2020-09-01,5402734.968537859,12088622.764816126
2020-10,2020-10-01,2963020.5300000003,14728790.363197064
2020-11,2020-11-01,3207015.3265091865,4150142.032969532
2020-12,2020-12-01,11188862.62367454,5400439.181509288
2021-01,2021-01-01,2963020.5300000007,3902917.462030123
2021-02,2021-02-01,2963020.53,7509901.55591612
2021-03,2021-03-01,13337780.169582248,13505827.320932329
2021-04,2021-04-01,3064077.7880128208,22956572.569640864
2021-05,2021-05-01,2819876.0720161293,14968222.452358522
2021-06,2021-06-01,4677827.280828877,3937642.5595364333
2021-07,2021-07-01,13074264.823858697,5787639.734611565
2021-08,2021-08-01,4122579.150578948,5932935.073691263
2021-09,2021-09-01,5379746.135641026,14364613.549933502
2021-10,2021-10-01,3316682.0890076337,6333676.663864108
2021-11,2021-11-01,10600558.676541353,27148032.365927853
2021-12,2021-12-01,13526944.818938272,2265072.7992660254
2022-01,2022-01-01,7876660.311081731,13943437.99577916
2022-02,2022-02-01,4641937.945892421,7356012.423523487
2022-03,2022-03-01,12949807.676009282,8510222.871123455
2022-04,2022-04-01,10722188.078022987,1846236.6157737214
2022-05,2022-05-01,12171156.576940639,16187533.228518352
2022-06,2022-06-01,15638579.2925,4029436.0763664073
2022-07,2022-07-01,7700778.810657698,6503002.913909573
2022-08,2022-08-01,8271383.309405521,8439093.655857937
2022-09,2022-09-01,18040979.558423325,9739772.29044468
2022-10,2022-10-01,8883419.120042106,13621718.589295838
2022-11,2022-11-01,4704468.071800327,11678673.874102438
2022-12,2022-12-01,15455208.816640252,5379402.683082889
2023-01,2023-01-01,2963020.5300000003,12292472.095358925
2023-02,2023-02-01,3536084.8723149616,5350221.694404457
2023-03,2023-03-01,22431164.67634675,10166640.933497405
2023-04,2023-04-01,11025537.037512038,2120370.909176079
2023-05,2023-05-01,8868369.073653847,8708540.77160947
2023-06,2023-06-01,15109783.339593345,11263868.215882892
2023-07,2023-07-01,10914225.226630436,18606069.993200965
2023-08,2023-08-01,9579633.848838476,11396839.681216976
2023-09,2023-09-01,20604748.641805053,4865441.201302024
2023-10,2023-10-01,7169493.932676581,11803369.920510044
2023-11,2023-11-01,3951629.33908142,7845496.444256899
2023-12,2023-12-01,29446536.373040155,5134447.571752171
2024-01,2024-01-01,1483909.4130595482,5117961.927000233
2024-02,2024-02-01,6806922.585357873,17203639.42596867
2024-03,2024-03-01,33188108.243518166,4329016.933793275
2024-04,2024-04-01,8090340.130905434,7977865.437553725
2024-05,2024-05-01,9156489.419742575,9649422.4736775
2024-06,2024-06-01,22167332.92401163,9200780.389418008
2024-07,2024-07-01,,12075558.7739745
2024-08,2024-08-01,,10990596.182992596
2024-09,2024-09-01,,11081219.448147083
2024-10,2024-10-01,,7118269.550456193
2024-11,2024-11-01,,13012871.559283158
2024-12,2024-12-01,,16848812.682760715
2025-01,2025-01-01,,8606388.851985604
2025-02,2025-02-01,,6936169.198733807
2025-03,2025-03-01,,25398844.018152148
2025-04,2025-04-01,,9255711.483260185
2025-05,2025-05-01,,9604613.565048285
2025-06,2025-06-01,,18426411.070529252
