Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,425327.26332574064,22266475.422290314
2019-05,2019-05-01,8103678.281008773,21841628.334304664
2019-06,2019-06-01,25247997.219331138,18148844.466056526
2019-07,2019-07-01,21203005.94217548,13198312.312608575
2019-08,2019-08-01,14202499.069352333,12293145.622031618
2019-09,2019-09-01,2996820.036094147,13358232.638343586
2019-10,2019-10-01,985285.2528475941,15197624.512225011
2019-11,2019-11-01,22089783.30766043,16702147.67895044
2019-12,2019-12-01,20768067.00265499,24683600.811911833
2020-01,2020-01-01,649319.4408176945,21391927.53198494
2020-02,2020-02-01,9198896.636093333,12323874.58768377
2020-03,2020-03-01,33177021.29546174,16574823.497277945
2020-04,2020-04-01,1011299.388108108,17672799.513136063
2020-05,2020-05-01,7699264.595014044,19531718.642974246
2020-06,2020-06-01,27732614.08462963,19551997.348352812
2020-07,2020-07-01,13852543.528905405,16174762.540986454
2020-08,2020-08-01,11442940.151662199,18245172.715867206
2020-09,2020-09-01,16522288.306853784,18362502.405106995
2020-10,2020-10-01,16294760.58744032,18538647.486001067
2020-11,2020-11-01,13966598.038464569,13823107.2428686
2020-12,2020-12-01,26598353.912165355,15631208.8490595
2021-01,2021-01-01,14003968.820638297,13132203.96324306
2021-02,2021-02-01,17690186.433399998,22073539.849556055
2021-03,2021-03-01,21910834.372036554,24440409.673737828
2021-04,2021-04-01,16810395.72934295,27932019.904140815
2021-05,2021-05-01,12013381.749973118,18790672.88891869
2021-06,2021-06-01,21641063.116524063,14399742.136269389
2021-07,2021-07-01,18515289.40226902,16784703.580136143
2021-08,2021-08-01,15709712.19881579,16894078.302646946
2021-09,2021-09-01,22683983.376294874,21696136.743668232
2021-10,2021-10-01,17122812.92541985,17503397.270098012
2021-11,2021-11-01,17709250.473345865,22559746.578481264
2021-12,2021-12-01,25576675.82580247,18151613.871069122
2022-01,2022-01-01,13944744.396213941,21899473.875247426
2022-02,2022-02-01,16590380.815562347,14678157.418830551
2022-03,2022-03-01,25699392.344269138,19008186.723083943
2022-04,2022-04-01,17594233.549367815,9940650.055641554
2022-05,2022-05-01,16806036.821324203,23344413.38600594
2022-06,2022-06-01,26601253.03564394,13979430.97619715
2022-07,2022-07-01,12272010.218004486,15226443.332950467
2022-08,2022-08-01,15561144.830339704,18075193.603560254
2022-09,2022-09-01,28545109.757289417,20729581.853512514
2022-10,2022-10-01,15357241.384663159,16720971.120492073
2022-11,2022-11-01,11185534.89437807,17058012.865851387
2022-12,2022-12-01,23180525.59524564,12603346.872452447
2023-01,2023-01-01,7215428.779018839,16972835.81579088
2023-02,2023-02-01,10026175.855834646,16914883.096487742
2023-03,2023-03-01,32979147.6929257,18486444.43838274
2023-04,2023-04-01,14050454.113764046,12008360.926803282
2023-05,2023-05-01,15397757.6403125,14077677.322254382
2023-06,2023-06-01,26916892.27857671,17529845.037217338
2023-07,2023-07-01,17607197.692001812,21256648.987456847
2023-08,2023-08-01,13728408.967477314,23933150.316094227
2023-09,2023-09-01,27978150.452084836,13940624.056087714
2023-10,2023-10-01,14326903.951394053,20924572.214775268
2023-11,2023-11-01,12196118.614175364,16061487.757620003
2023-12,2023-12-01,34985544.68810707,16356602.176571848
2024-01,2024-01-01,9641043.630246406,14277548.69841137
2024-02,2024-02-01,14759819.286799591,19243389.804511297
2024-03,2024-03-01,37229872.674789675,13588750.803709907
2024-04,2024-04-01,15014452.591529176,18208496.86119845
2024-05,2024-05-01,16960519.13372277,14474442.020396488
2024-06,2024-06-01,29102503.85391473,18855332.769291203
2024-07,2024-07-01,,20109429.24521337
2024-08,2024-08-01,,18972885.647648126
2024-09,2024-09-01,,25321500.112473212
2024-10,2024-10-01,,22443844.07487496
2024-11,2024-11-01,,17834053.3660725
2024-12,2024-12-01,,26688753.51343159
2025-01,2025-01-01,,17809945.066543546
2025-02,2025-02-01,,19552309.393937256
2025-03,2025-03-01,,36320372.43149381
2025-04,2025-04-01,,17333191.56562104
2025-05,2025-05-01,,19522914.309783403
2025-06,2025-06-01,,33038600.78315779
