Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,1781903.7987603305,1826550.6905894259
2019-05,2019-05-01,1873979.4760964913,1905828.238843283
2019-06,2019-06-01,4695387.417,4681892.746987824
2019-07,2019-07-01,2353894.4560204083,2345351.59680297
2019-08,2019-08-01,3223088.332021277,3186773.6984153157
2019-09,2019-09-01,2100863.7903,2121523.368956108
2019-10,2019-10-01,1836229.4934146341,1823210.6683409447
2019-11,2019-11-01,3242662.960436893,3200703.652013131
2019-12,2019-12-01,4091331.2528846157,4027480.4611465377
2020-01,2020-01-01,2851065.62,2805950.010208832
2020-02,2020-02-01,2018093.2609550564,2020815.29798305
2020-03,2020-03-01,2158358.533967391,2571838.365017625
2020-04,2020-04-01,2340835.870625,2336286.131979185
2020-05,2020-05-01,2678365.119042553,2685929.074556745
2020-06,2020-06-01,1663549.79765,1670018.7196557247
2020-07,2020-07-01,2726549.1845408166,2709470.4742047093
2020-08,2020-08-01,2452806.8979069768,2452700.2717064926
2020-09,2020-09-01,2532273.0085416664,2524830.4049227424
2020-10,2020-10-01,2158457.834634146,2165495.721523271
2020-11,2020-11-01,3311996.6499565216,3277044.918672174
2020-12,2020-12-01,3182493.4245,3152720.463151564
2021-01,2021-01-01,2317668.681290323,2325720.813103633
2021-02,2021-02-01,2092773.4671495329,2099819.940936328
2021-03,2021-03-01,3094993.2812871286,3328109.0007153866
2021-04,2021-04-01,2262914.3184722224,2207408.5062156287
2021-05,2021-05-01,2866911.204074074,2868899.139985702
2021-06,2021-06-01,2883661.553452381,2875649.472374813
2021-07,2021-07-01,2496439.3136309525,2495092.838126139
2021-08,2021-08-01,3258544.8725324674,3451832.1205702685
2021-09,2021-09-01,4115175.07026087,4231444.261195141
2021-10,2021-10-01,2541351.8632978722,2702253.068261423
2021-11,2021-11-01,2719090.705775862,2719003.6437600213
2021-12,2021-12-01,2752510.6585119045,2640691.713597388
2022-01,2022-01-01,2947289.2559345793,2933628.428833881
2022-02,2022-02-01,3263522.6843303577,3226913.9665862056
2022-03,2022-03-01,3284327.3353813556,3237740.816462224
2022-04,2022-04-01,3611540.633451327,3559751.3570741583
2022-05,2022-05-01,3152942.6081696427,3227650.554938898
2022-06,2022-06-01,3703075.5283124996,4686849.288760355
2022-07,2022-07-01,1526285.7639622642,1573426.0087867999
2022-08,2022-08-01,3155869.1073245616,3124301.1391494414
2022-09,2022-09-01,3626797.716572581,3555729.959701336
2022-10,2022-10-01,2931463.1246534656,2891454.049335928
2022-11,2022-11-01,-142547.8456557372,-63242.66260771516
2022-12,2022-12-01,2187210.6787804877,2158378.6743577565
2023-01,2023-01-01,2607750.4370679012,2520912.4114204072
2023-02,2023-02-01,3070949.9079320985,3062292.6090362323
2023-03,2023-03-01,2016501.2704573171,1968983.9855755777
2023-04,2023-04-01,3262283.3702430557,3223924.6135320747
2023-05,2023-05-01,3358867.8909740257,3322419.925008724
2023-06,2023-06-01,3119412.766954887,3145500.893296069
2023-07,2023-07-01,2949942.2419310347,2907594.4307956775
2023-08,2023-08-01,2271965.488430657,2226014.132856337
2023-09,2023-09-01,2756914.8311888115,2708347.2586633856
2023-10,2023-10-01,2393733.335072464,2387309.391293146
2023-11,2023-11-01,4060933.7814,4028797.1903559947
2023-12,2023-12-01,2263268.93545082,2108780.83499904
2024-01,2024-01-01,3933827.5321259843,3864909.1610061917
2024-02,2024-02-01,4358489.146086956,4286917.686622795
2024-03,2024-03-01,2903622.0496456693,2893646.822528262
2024-04,2024-04-01,2776716.997347826,2763451.862517929
2024-05,2024-05-01,4565236.491111111,4484976.160722781
2024-06,2024-06-01,3337475.0745075755,3274832.953079529
2024-07,2024-07-01,,3755413.8295153477
2024-08,2024-08-01,,3670948.9994038264
2024-09,2024-09-01,,3420122.8516015895
2024-10,2024-10-01,,3928596.8506741924
2024-11,2024-11-01,,3896916.422928773
2024-12,2024-12-01,,4586539.615860812
2025-01,2025-01-01,,4465859.665530597
2025-02,2025-02-01,,3154941.8836460817
2025-03,2025-03-01,,4234848.149857845
2025-04,2025-04-01,,3679715.219226906
2025-05,2025-05-01,,6483234.461831899
