Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,18891569.890000008,20536969.660579566
2019-05,2019-05-01,18891569.890000008,19197798.332498204
2019-06,2019-06-01,18891569.890000008,18998992.731169935
2019-07,2019-07-01,18891569.890000008,19494784.070313655
2019-08,2019-08-01,18891569.890000008,18723163.046938933
2019-09,2019-09-01,18891569.890000008,19304611.404167622
2019-10,2019-10-01,18891569.890000008,19022471.899316117
2019-11,2019-11-01,18891569.890000008,18921230.57993413
2019-12,2019-12-01,18891569.890000008,22305551.327715285
2020-01,2020-01-01,18891569.890000008,18884014.261134345
2020-02,2020-02-01,18891569.890000008,19256161.378859602
2020-03,2020-03-01,18891569.890000008,18634983.099612787
2020-04,2020-04-01,18891569.890000008,18699656.163359933
2020-05,2020-05-01,18891569.890000008,19148408.198898382
2020-06,2020-06-01,18891569.890000008,18953579.871524096
2020-07,2020-07-01,18891569.890000008,19968401.97195276
2020-08,2020-08-01,18891569.890000008,19193558.897516657
2020-09,2020-09-01,19365709.18892951,19067956.68849891
2020-10,2020-10-01,18891569.890000008,19597238.812238947
2020-11,2020-11-01,18891569.890000008,19066428.461916972
2020-12,2020-12-01,18121164.37989502,18776888.855308585
2021-01,2021-01-01,18891569.890000008,19015459.089618955
2021-02,2021-02-01,18891569.890000008,18990270.316071153
2021-03,2021-03-01,18979431.00138382,19498283.679233275
2021-04,2021-04-01,18891569.890000008,20413216.541581076
2021-05,2021-05-01,18891569.890000008,18893121.814344335
2021-06,2021-06-01,19411863.85288771,19141739.427891616
2021-07,2021-07-01,18891569.890000008,19076248.87163632
2021-08,2021-08-01,18891569.890000008,19244056.123339787
2021-09,2021-09-01,18891569.890000008,19376746.90890798
2021-10,2021-10-01,18891569.890000008,18995859.0129703
2021-11,2021-11-01,18891569.890000008,22927291.655202147
2021-12,2021-12-01,18737604.830864206,18608880.950046107
2022-01,2022-01-01,18891569.890000008,19364909.477517582
2022-02,2022-02-01,18891569.890000008,18959898.594522998
2022-03,2022-03-01,19273938.97628771,18945535.22728721
2022-04,2022-04-01,18891569.890000008,18736141.5841674
2022-05,2022-05-01,18891569.890000008,21969415.76136212
2022-06,2022-06-01,19310311.49530304,18766706.59200374
2022-07,2022-07-01,18891569.890000008,19114716.94167701
2022-08,2022-08-01,18891569.890000008,19208595.486368068
2022-09,2022-09-01,19635611.46058316,18831672.370160606
2022-10,2022-10-01,18891569.890000008,19017217.38243363
2022-11,2022-11-01,18891569.890000008,19572611.129947368
2022-12,2022-12-01,20098399.245245647,18863569.558505163
2023-01,2023-01-01,18891569.890000008,18989959.583935626
2023-02,2023-02-01,18891569.890000008,19132047.282186482
2023-03,2023-03-01,22772277.110448923,19641397.912301913
2023-04,2023-04-01,18891569.890000008,18882756.41402748
2023-05,2023-05-01,18891569.890000008,18814369.913221385
2023-06,2023-06-01,19375476.548613686,18723739.920497354
2023-07,2023-07-01,18891569.890000008,21087982.488804337
2023-08,2023-08-01,18891569.890000008,19024929.44656689
2023-09,2023-09-01,22114149.96709387,18806878.39955426
2023-10,2023-10-01,18891569.890000008,18512791.695689857
2023-11,2023-11-01,18891569.890000008,18814107.40894493
2023-12,2023-12-01,22941877.146653928,18992994.05939557
2024-01,2024-01-01,18891569.890000008,18754310.743969213
2024-02,2024-02-01,18891569.890000008,22293154.734301608
2024-03,2024-03-01,22896690.146978978,18693756.253193308
2024-04,2024-04-01,18891569.890000008,19080373.926526934
2024-05,2024-05-01,18891569.890000008,18802883.744273704
2024-06,2024-06-01,22403467.969224814,19580192.782974858
2024-07,2024-07-01,,19296848.986940943
2024-08,2024-08-01,,19556617.006249446
2024-09,2024-09-01,,20678669.010040786
2024-10,2024-10-01,,20151780.193299703
2024-11,2024-11-01,,19940549.137201436
2024-12,2024-12-01,,20006123.935900196
2025-01,2025-01-01,,20234493.647038344
2025-02,2025-02-01,,20337485.62836287
2025-03,2025-03-01,,21868641.02216537
2025-04,2025-04-01,,19941512.854126506
2025-05,2025-05-01,,19879188.544863485
2025-06,2025-06-01,,20942526.837941024
