Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,22148260.37999999,23639645.88891877
2019-05,2019-05-01,22148260.37999999,22617790.477160495
2019-06,2019-06-01,22148260.37999999,23014250.522261593
2019-07,2019-07-01,22148260.37999999,22738585.646460302
2019-08,2019-08-01,22148260.37999999,21638512.562309347
2019-09,2019-09-01,22148260.37999999,21741351.224874612
2019-10,2019-10-01,22148260.37999999,22460915.667161684
2019-11,2019-11-01,22148260.37999999,22970354.187041
2019-12,2019-12-01,22148260.37999999,26972196.15273517
2020-01,2020-01-01,22148260.37999999,24479769.457688183
2020-02,2020-02-01,22148260.37999999,23334625.344068263
2020-03,2020-03-01,22148260.37999999,22691854.77710709
2020-04,2020-04-01,22148260.37999999,23675456.353247795
2020-05,2020-05-01,22148260.37999999,23775158.872755773
2020-06,2020-06-01,22148260.37999999,21849977.827967998
2020-07,2020-07-01,22148260.37999999,22565793.855900787
2020-08,2020-08-01,22148260.37999999,22286097.779404677
2020-09,2020-09-01,23413116.08075717,23692012.513919007
2020-10,2020-10-01,22148260.37999999,23939718.58841532
2020-11,2020-11-01,22046842.737322826,21683209.154668912
2020-12,2020-12-01,22598263.801942248,23134837.136312824
2021-01,2021-01-01,22148260.37999999,22113837.41619144
2021-02,2021-02-01,22148260.37999999,23087800.53156798
2021-03,2021-03-01,24245500.642010435,23580065.70267549
2021-04,2021-04-01,22148260.37999999,26042629.80410085
2021-05,2021-05-01,22148260.37999999,24568691.58289869
2021-06,2021-06-01,23387732.240748655,22253504.02751975
2021-07,2021-07-01,28212228.699538033,21935808.40072023
2021-08,2021-08-01,23255355.168394726,22258768.73993809
2021-09,2021-09-01,22148260.37999999,23662242.033062898
2021-10,2021-10-01,22261686.547557242,22574178.660846278
2021-11,2021-11-01,22151962.169273175,27818613.776136972
2021-12,2021-12-01,22011501.36943209,21851003.230307326
2022-01,2022-01-01,21876113.69423076,23025380.706219446
2022-02,2022-02-01,22091503.772762824,22458073.820310082
2022-03,2022-03-01,23522448.562505793,22573638.204519384
2022-04,2022-04-01,23063762.594850566,21362603.995582312
2022-05,2022-05-01,22592352.99952054,24617117.104651995
2022-06,2022-06-01,23827479.58351009,21926578.705425795
2022-07,2022-07-01,23099617.987862475,22889725.77678651
2022-08,2022-08-01,23439984.54789808,23909681.901217926
2022-09,2022-09-01,23785354.216781847,23599464.92343752
2022-10,2022-10-01,22758566.33829473,22757572.372243453
2022-11,2022-11-01,22148260.37999999,23701167.278813258
2022-12,2022-12-01,24499113.509175904,22220905.653183974
2023-01,2023-01-01,22148260.37999999,22661444.371155668
2023-02,2023-02-01,22342774.10585826,21780679.160176806
2023-03,2023-03-01,27234428.458111446,23410478.652024835
2023-04,2023-04-01,22432062.646693412,21854390.291394632
2023-05,2023-05-01,21468249.916490376,22794103.377519548
2023-06,2023-06-01,24097726.311811455,23762437.974334136
2023-07,2023-07-01,22792185.679275353,24910738.85988779
2023-08,2023-08-01,21382999.979818504,23866784.437904708
2023-09,2023-09-01,28114309.148231037,21843002.48776743
2023-10,2023-10-01,23344434.865223043,23020531.332312092
2023-11,2023-11-01,21499819.513256777,22697146.032942638
2023-12,2023-12-01,28001234.361472268,21951675.29219282
2024-01,2024-01-01,21718633.47125256,22397269.987831958
2024-02,2024-02-01,21883897.716993857,24538625.425685078
2024-03,2024-03-01,27451628.945238996,22011715.294589564
2024-04,2024-04-01,21082352.016760554,23408719.520979244
2024-05,2024-05-01,21758144.882613853,22733049.3534292
2024-06,2024-06-01,28466692.569360457,23436773.68169556
2024-07,2024-07-01,,25890574.345523853
2024-08,2024-08-01,,24350735.886880264
2024-09,2024-09-01,,24045879.598451156
2024-10,2024-10-01,,24114465.204752766
2024-11,2024-11-01,,24266859.28520513
2024-12,2024-12-01,,25866468.849424686
2025-01,2025-01-01,,24665145.090613917
2025-02,2025-02-01,,25310814.353740554
2025-03,2025-03-01,,27438354.06710677
2025-04,2025-04-01,,24467323.498996362
2025-05,2025-05-01,,24564770.84991973
2025-06,2025-06-01,,27058638.699549712
