Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,18891569.890000008,18572123.001850974
2019-05,2019-05-01,18891569.890000008,18640418.152633954
2019-06,2019-06-01,18891569.890000008,20679212.482002523
2019-07,2019-07-01,18891569.890000008,18690530.177704416
2019-08,2019-08-01,18891569.890000008,19132727.360026337
2019-09,2019-09-01,18891569.890000008,19401783.70637667
2019-10,2019-10-01,18891569.890000008,18626513.212118693
2019-11,2019-11-01,18891569.890000008,19045934.997675415
2019-12,2019-12-01,18891569.890000008,19654786.251747318
2020-01,2020-01-01,18891569.890000008,18847025.030520927
2020-02,2020-02-01,18891569.890000008,19168892.14482887
2020-03,2020-03-01,18891569.890000008,19230217.032940816
2020-04,2020-04-01,18891569.890000008,18570355.94074508
2020-05,2020-05-01,18891569.890000008,19050988.730510026
2020-06,2020-06-01,18891569.890000008,19280782.97214358
2020-07,2020-07-01,18891569.890000008,19020857.44264919
2020-08,2020-08-01,18891569.890000008,18956685.008525383
2020-09,2020-09-01,20649466.537570104,20064877.106741875
2020-10,2020-10-01,18891569.890000008,18895758.89628764
2020-11,2020-11-01,18891569.890000008,18533779.68678066
2020-12,2020-12-01,18891569.890000008,19119158.94099775
2021-01,2021-01-01,18891569.890000008,18844325.50727186
2021-02,2021-02-01,18891569.890000008,19150217.19424948
2021-03,2021-03-01,18539764.553195886,19273207.317746952
2021-04,2021-04-01,18891569.890000008,19014815.143047217
2021-05,2021-05-01,18891569.890000008,19003982.72324636
2021-06,2021-06-01,20620711.413917534,19240907.07024831
2021-07,2021-07-01,18891569.890000008,19137470.1701186
2021-08,2021-08-01,18891569.890000008,18943691.404534705
2021-09,2021-09-01,18891569.890000008,19517717.060734686
2021-10,2021-10-01,18891569.890000008,19183862.28322967
2021-11,2021-11-01,18891569.890000008,19029272.32008728
2021-12,2021-12-01,18891569.890000008,19362891.709561996
2022-01,2022-01-01,18891569.890000008,18871123.22936704
2022-02,2022-02-01,18891569.890000008,18968216.03273163
2022-03,2022-03-01,19008142.36481482,19361472.466228634
2022-04,2022-04-01,18891569.890000008,19317338.549731467
2022-05,2022-05-01,18891569.890000008,19418242.56442493
2022-06,2022-06-01,18984149.807211544,19515898.393228035
2022-07,2022-07-01,18891569.890000008,18877234.054872088
2022-08,2022-08-01,18891569.890000008,19026537.59457114
2022-09,2022-09-01,16143632.235317467,19722323.828090753
2022-10,2022-10-01,18891569.890000008,19418897.086782932
2022-11,2022-11-01,18891569.890000008,18925387.251292717
2022-12,2022-12-01,21627432.78497298,19464923.206009235
2023-01,2023-01-01,18891569.890000008,18504218.05255608
2023-02,2023-02-01,18891569.890000008,19201717.77458192
2023-03,2023-03-01,21187984.114885066,19745554.56683428
2023-04,2023-04-01,18891569.890000008,19226087.14061089
2023-05,2023-05-01,18891569.890000008,19237350.635189936
2023-06,2023-06-01,20092821.05435115,19731036.03094483
2023-07,2023-07-01,18891569.890000008,18793228.15124827
2023-08,2023-08-01,18891569.890000008,19480382.93508503
2023-09,2023-09-01,23690046.73950001,20178926.499178965
2023-10,2023-10-01,18891569.890000008,19353233.342964146
2023-11,2023-11-01,18891569.890000008,18861088.840974335
2023-12,2023-12-01,28514294.56872001,20862675.14947334
2024-01,2024-01-01,18891569.890000008,18991905.405308086
2024-02,2024-02-01,18891569.890000008,19430917.100050323
2024-03,2024-03-01,18620481.47403362,19841048.922460064
2024-04,2024-04-01,18891569.890000008,19377900.176107053
2024-05,2024-05-01,18891569.890000008,19527653.62019207
2024-06,2024-06-01,20306681.152916674,19485013.763836455
2024-07,2024-07-01,,19511403.514354825
2024-08,2024-08-01,,23602179.560226396
2024-09,2024-09-01,,19489956.899941485
2024-10,2024-10-01,,19729602.13067872
2024-11,2024-11-01,,20666395.382982235
2024-12,2024-12-01,,19867664.16286011
2025-01,2025-01-01,,19932796.063880447
2025-02,2025-02-01,,22311030.866044205
2025-03,2025-03-01,,20617157.283941254
2025-04,2025-04-01,,20520545.774761334
2025-05,2025-05-01,,20428447.353951212
