Month-Year,Date,Actual,Predicted
2019-04,2019-04-01,350379967.3495672,547151633.7677207
2019-05,2019-05-01,403282670.81666666,381539508.4555083
2019-06,2019-06-01,357420880.94550437,454309643.9762766
2019-07,2019-07-01,425105574.6604327,589126438.3197389
2019-08,2019-08-01,408268634.82795334,314803716.2614242
2019-09,2019-09-01,505575639.04913485,413581714.0920407
2019-10,2019-10-01,515354248.3205615,473564529.9805995
2019-11,2019-11-01,392685988.8173262,439264086.22323805
2019-12,2019-12-01,415451569.39735854,858138497.3484895
2020-01,2020-01-01,474851796.0258713,731922024.1696025
2020-02,2020-02-01,410143120.46216,415736022.3694685
2020-03,2020-03-01,406603713.6973879,445086240.5927476
2020-04,2020-04-01,300474716.5794324,574656571.129339
2020-05,2020-05-01,406316354.9559832,899537967.6436757
2020-06,2020-06-01,502017425.30777776,315280134.01991946
2020-07,2020-07-01,497022389.1666216,338993572.67890036
2020-08,2020-08-01,468075119.18731904,429405142.60712385
2020-09,2020-09-01,451684140.8763186,885775144.4359245
2020-10,2020-10-01,711144849.3370557,717751059.6985106
2020-11,2020-11-01,556106171.5659842,316960485.919351
2020-12,2020-12-01,580315418.0915223,423346587.7206945
2021-01,2021-01-01,532575729.2098139,357682041.17835623
2021-02,2021-02-01,500740875.40429336,789750568.8307492
2021-03,2021-03-01,512812014.0274935,736294623.4882787
2021-04,2021-04-01,532722453.6721795,791919312.9977998
2021-05,2021-05-01,424943224.6953495,610761025.8441209
2021-06,2021-06-01,501120193.0211765,322551497.8057636
2021-07,2021-07-01,522578421.8415489,272899340.10415345
2021-08,2021-08-01,533863523.1246053,402467383.3763337
2021-09,2021-09-01,537894361.1748205,598921873.0713699
2021-10,2021-10-01,503776767.8521883,285616432.6400331
2021-11,2021-11-01,531123021.21546364,830058486.9655865
2021-12,2021-12-01,561082937.1507901,300324788.3351157
2022-01,2022-01-01,468985418.33557695,482013850.6319198
2022-02,2022-02-01,492044073.0070905,357352402.0570566
2022-03,2022-03-01,553487189.5606265,471516334.0715212
2022-04,2022-04-01,444598491.7643678,299691929.5872224
2022-05,2022-05-01,462246213.89671236,484825813.2135759
2022-06,2022-06-01,527484454.7146212,313982249.415456
2022-07,2022-07-01,451160570.51594913,398219830.6608762
2022-08,2022-08-01,480030529.2446284,537736256.5122283
2022-09,2022-09-01,561367423.3009071,670241814.9944092
2022-10,2022-10-01,532356132.3222105,530370125.3857491
2022-11,2022-11-01,448620474.05379707,402399296.5538745
2022-12,2022-12-01,448976581.70944536,414115161.6912076
2023-01,2023-01-01,358012683.9714286,450328478.50840163
2023-02,2023-02-01,365969090.1082677,314329290.7339573
2023-03,2023-03-01,478517007.2763158,468478442.93010145
2023-04,2023-04-01,497667880.60203856,333139649.47382253
2023-05,2023-05-01,484636511.40599364,603842566.5075812
2023-06,2023-06-01,496465994.5266913,661630163.4989868
2023-07,2023-07-01,481449774.3232609,848622638.6004903
2023-08,2023-08-01,445951381.9434302,473141562.54247755
2023-09,2023-09-01,556290165.985704,341430451.83214027
2023-10,2023-10-01,741747761.9456692,779983873.0672148
2023-11,2023-11-01,638733075.4977453,476622870.8230428
2023-12,2023-12-01,521994628.09055454,235098477.75300103
2024-01,2024-01-01,635947902.20538,312648972.8100363
2024-02,2024-02-01,557481540.7047648,813389900.557872
2024-03,2024-03-01,606595128.0787381,317538633.1367254
2024-04,2024-04-01,611438107.1830986,569480763.9037492
2024-05,2024-05-01,589361223.94,412285464.66748065
2024-06,2024-06-01,559088781.9867635,529883830.737851
2024-07,2024-07-01,,503902278.070338
2024-08,2024-08-01,,511443407.80545694
2024-09,2024-09-01,,561559861.7031267
2024-10,2024-10-01,,626509537.6417722
2024-11,2024-11-01,,598540751.8731351
2024-12,2024-12-01,,614150299.5812685
2025-01,2025-01-01,,546569747.5226924
2025-02,2025-02-01,,539975674.678359
2025-03,2025-03-01,,582619734.3368841
2025-04,2025-04-01,,527460280.5022748
2025-05,2025-05-01,,531185866.73081654
2025-06,2025-06-01,,546886769.6546775
